User Speed (m/s),Signal Strength (dBm),Battery Level (%),Network Congestion,Distance from Base Station (m),Handover Events,Power Consumption (mW),Transmission Power (dBm),Throughput (Mbps),Latency (ms),RF Link Quality
0.43,-67.14,83,High,342.93,0,472.92,11.57,5.26,110.13,Poor
2.58,-116.41,22,Low,908.9,0,696.3,30.0,1.49,67.84,Poor
13.86,-107.16,45,High,770.78,3,665.48,30.0,1.0,149.65,Poor
10.61,-67.18,29,Medium,357.57,0,467.4,11.59,28.57,72.25,Moderate
20.32,-88.82,44,Low,644.84,1,503.79,22.41,16.85,62.43,Moderate
22.19,-79.48,43,Low,437.8,1,513.08,17.74,29.38,20.75,Moderate
24.88,-89.42,81,Low,692.08,4,450.01,22.71,9.3,18.8,Poor
0.47,-57.35,72,Low,152.52,0,505.81,6.67,88.41,50.43,Moderate
25.75,-92.19,84,Medium,683.2,3,706.8,24.09,1.0,85.86,Poor
10.86,-109.05,64,Medium,909.51,1,631.01,30.0,1.0,116.16,Poor
22.42,-84.88,60,High,634.27,3,552.0,20.44,1.0,124.57,Poor
10.58,-82.32,18,Low,525.27,1,407.27,19.16,41.11,35.75,Good
26.01,-92.84,73,High,672.1,3,667.04,24.42,1.0,105.06,Poor
8.52,-109.61,81,High,852.55,0,767.35,30.0,1.0,146.74,Poor
1.26,-88.31,30,Low,556.13,0,492.8,22.16,51.33,69.4,Moderate
9.77,-88.53,81,Medium,532.53,1,471.4,22.27,8.49,89.31,Poor
0.12,-101.82,41,Low,712.57,0,674.36,28.91,24.23,49.07,Moderate
0.18,-99.2,84,Medium,626.4,0,765.42,27.6,1.39,97.8,Poor
1.81,-90.07,18,High,642.86,0,640.81,23.04,1.0,157.44,Poor
8.89,-71.97,65,Low,400.32,1,566.4,13.99,54.98,26.76,Good
1.16,-93.71,94,Medium,614.4,0,617.79,24.85,4.45,103.19,Poor
9.02,-75.59,96,Low,391.26,1,501.86,15.79,53.0,45.29,Good
2.46,-89.81,89,Medium,593.78,0,454.5,22.91,25.72,76.55,Moderate
0.27,-97.68,93,Medium,736.57,0,721.39,26.84,3.44,95.92,Poor
25.95,-87.71,70,Low,562.48,2,552.55,21.86,1.1,44.61,Poor
9.97,-75.0,58,Low,443.06,1,484.46,15.5,57.85,48.03,Good
2.32,-62.11,12,Low,205.26,0,379.37,9.05,79.25,20.31,Good
20.58,-76.6,35,Medium,402.23,1,561.43,16.3,5.32,75.83,Poor
8.46,-76.95,81,Low,460.67,1,458.95,16.47,49.68,47.51,Good
12.54,-81.91,47,Medium,557.13,2,408.05,18.96,13.4,72.54,Poor
11.67,-97.39,65,Low,679.88,3,639.53,26.7,8.31,60.63,Poor
18.63,-84.28,98,High,551.4,2,558.07,20.14,1.0,113.79,Poor
1.82,-75.98,60,Medium,431.13,0,452.85,15.99,42.64,65.88,Moderate
2.75,-98.68,78,Medium,806.43,0,701.64,27.34,1.0,103.9,Poor
9.37,-69.5,17,High,306.0,1,401.91,12.75,3.1,116.24,Poor
1.68,-76.81,79,High,395.04,0,382.95,16.4,10.64,95.63,Poor
12.34,-95.21,29,Medium,653.28,2,657.51,25.61,1.0,87.12,Poor
1.82,-65.42,59,Medium,320.93,0,446.62,10.71,48.95,78.39,Moderate
0.85,-91.85,99,Low,649.01,0,677.24,23.93,44.88,49.04,Good
27.27,-81.26,61,Medium,486.97,2,519.21,18.63,1.0,81.03,Poor
2.51,-78.73,52,High,416.3,0,519.95,17.36,6.22,107.31,Poor
9.96,-84.35,79,High,614.01,0,486.07,20.17,1.0,119.15,Poor
17.92,-77.24,50,Medium,368.33,1,479.11,16.62,14.17,68.0,Poor
1.5,-76.32,24,Low,506.14,0,576.01,16.16,61.21,29.17,Good
0.58,-76.41,39,Medium,454.63,0,538.34,16.21,27.86,71.13,Moderate
0.97,-94.33,38,Low,611.28,0,811.91,25.16,39.98,71.73,Moderate
0.08,-73.86,55,Medium,494.7,0,558.55,14.93,41.12,75.88,Moderate
18.62,-80.96,51,Medium,494.63,2,493.97,18.48,1.0,73.6,Poor
12.11,-65.65,52,High,321.12,3,540.89,10.83,4.05,105.78,Poor
2.77,-65.29,39,Low,299.58,0,480.21,10.64,79.45,31.97,Good
26.88,-96.31,18,Medium,805.14,4,623.6,26.15,1.0,93.16,Poor
26.93,-83.66,49,High,577.28,3,390.5,19.83,1.0,143.35,Poor
1.44,-85.79,80,Low,585.81,0,500.73,20.89,62.56,41.67,Good
8.57,-89.61,46,Low,677.73,1,528.44,22.81,31.62,36.62,Moderate
0.21,-74.13,68,Medium,379.99,0,557.74,15.06,36.91,69.49,Moderate
20.76,-75.51,28,Low,373.42,2,531.47,15.76,23.72,44.62,Moderate
10.18,-102.18,84,High,846.45,1,711.03,29.09,1.0,144.15,Poor
1.19,-89.04,90,High,611.48,0,514.25,22.52,1.0,136.94,Poor
1.31,-106.49,53,High,756.58,0,720.31,30.0,1.0,128.21,Poor
12.95,-86.58,73,Low,528.15,3,474.26,21.29,24.37,47.97,Moderate
2.17,-50.0,56,Low,141.78,0,491.8,5.0,100.72,14.88,Good
0.26,-100.87,13,Low,856.27,0,557.78,28.43,22.92,44.54,Moderate
1.55,-104.11,14,High,872.87,0,515.13,30.0,1.0,137.56,Poor
24.98,-82.8,79,Low,469.32,2,458.02,19.4,6.9,45.41,Poor
10.0,-65.56,38,Medium,331.37,0,527.5,10.78,35.74,59.3,Moderate
18.9,-105.41,11,Medium,829.56,1,643.08,30.0,1.0,96.64,Poor
19.26,-86.35,89,Medium,619.78,2,493.49,21.18,1.0,88.14,Poor
13.15,-98.7,30,Medium,730.94,3,717.17,27.35,1.0,106.01,Poor
13.45,-81.23,96,Medium,493.51,3,547.88,18.62,5.68,71.84,Poor
10.26,-81.68,21,High,476.39,1,496.46,18.84,1.0,128.63,Poor
9.74,-97.91,52,Low,693.56,0,647.87,26.96,15.49,51.87,Moderate
24.85,-82.54,25,High,595.1,2,480.24,19.27,1.0,112.8,Poor
2.76,-85.5,59,High,564.26,0,522.82,20.75,1.0,127.86,Poor
23.08,-90.63,87,Low,556.94,3,719.39,23.32,13.46,49.91,Poor
2.62,-72.13,94,Low,399.45,0,543.22,14.07,62.49,32.82,Good
9.88,-80.6,85,Low,475.31,1,497.94,18.3,38.3,46.97,Moderate
0.34,-95.34,71,Medium,657.46,0,625.4,25.67,10.52,98.24,Poor
1.6,-94.49,76,Low,731.27,0,749.13,25.24,29.98,44.49,Moderate
12.52,-101.22,23,Medium,739.54,3,773.51,28.61,1.0,109.42,Poor
23.76,-80.91,35,Medium,384.0,4,580.68,18.45,1.0,78.19,Poor
10.41,-93.5,22,Low,655.59,0,687.68,24.75,22.7,39.44,Moderate
8.7,-73.68,67,Medium,407.71,0,486.98,14.84,27.46,72.22,Moderate
18.06,-87.71,31,High,659.0,1,548.12,21.86,1.0,135.75,Poor
0.95,-100.88,75,Low,730.65,0,658.13,28.44,25.36,53.58,Moderate
26.86,-62.35,97,Medium,290.07,3,605.2,9.17,10.62,82.61,Poor
22.51,-110.81,10,Medium,933.21,3,612.74,30.0,1.0,94.14,Poor
2.45,-77.47,36,High,371.72,0,465.44,16.73,5.19,129.92,Poor
2.57,-58.81,21,Low,163.34,0,486.35,7.41,72.49,34.24,Good
1.84,-115.22,79,Medium,906.56,0,768.18,30.0,1.0,107.78,Poor
11.79,-110.2,11,Low,921.61,2,681.25,30.0,1.0,68.84,Poor
1.06,-85.05,12,Medium,530.51,0,419.95,20.52,34.58,94.27,Moderate
2.12,-101.36,48,Low,750.64,0,719.71,28.68,31.29,39.99,Moderate
12.95,-70.31,99,High,301.97,3,512.99,13.16,1.0,112.82,Poor
8.96,-79.16,45,Medium,531.93,1,491.74,17.58,17.89,85.45,Moderate
9.75,-97.84,59,Medium,641.52,1,688.87,26.92,1.0,93.99,Poor
12.23,-85.72,64,Medium,547.29,2,426.47,20.86,5.7,69.37,Poor
2.2,-82.05,57,Low,459.68,0,541.59,19.03,50.9,41.77,Good
25.7,-65.29,56,Low,242.78,2,629.62,10.64,41.43,31.32,Good
17.14,-55.5,28,Medium,51.5,2,480.26,5.75,35.48,73.21,Moderate
24.05,-78.83,40,Medium,397.54,4,499.36,17.41,1.0,89.02,Poor
2.35,-56.85,57,Low,98.81,0,501.73,6.42,82.2,31.92,Good
25.51,-108.53,91,Medium,869.33,3,701.01,30.0,1.0,87.85,Poor
11.35,-87.47,21,Low,563.0,2,602.73,21.73,24.16,47.0,Moderate
1.0,-92.0,17,Low,690.96,0,519.12,24.0,33.49,45.18,Moderate
24.01,-110.43,61,Medium,799.5,2,729.81,30.0,1.0,127.96,Poor
0.34,-70.59,74,Low,339.75,0,469.4,13.3,62.66,31.85,Good
2.37,-77.11,60,Low,503.65,0,471.15,16.55,59.55,58.36,Moderate
12.2,-103.1,72,High,803.66,2,695.93,29.55,1.0,136.02,Poor
13.37,-83.2,43,Medium,509.28,2,492.02,19.6,4.09,88.33,Poor
20.67,-84.29,13,Medium,583.11,3,413.13,20.14,1.0,77.96,Poor
12.56,-90.54,84,High,596.66,1,694.36,23.27,1.0,127.62,Poor
10.03,-76.18,99,High,399.38,1,551.92,16.09,1.0,132.83,Poor
10.73,-89.2,76,Low,561.98,0,509.24,22.6,24.21,54.77,Moderate
17.31,-106.03,76,Medium,823.79,1,668.23,30.0,1.0,94.65,Poor
18.9,-98.13,32,Low,719.61,1,615.4,27.06,1.0,61.16,Poor
0.48,-74.4,67,High,417.51,0,535.97,15.2,5.09,113.43,Poor
2.47,-91.57,52,Low,728.6,0,613.15,23.79,36.52,51.79,Moderate
9.72,-82.71,20,Medium,405.72,1,535.85,19.36,12.24,85.87,Poor
13.02,-84.08,27,Low,487.34,3,371.39,20.04,32.45,52.22,Moderate
0.2,-96.82,30,Medium,673.04,0,677.19,26.41,4.03,96.91,Poor
2.05,-89.68,80,Medium,696.23,0,607.51,22.84,22.59,87.28,Moderate
9.15,-80.43,29,High,472.55,0,457.3,18.21,1.0,127.34,Poor
0.77,-91.45,57,Low,582.02,0,761.8,23.72,36.84,40.0,Moderate
0.33,-73.63,72,Medium,421.73,0,568.18,14.81,41.79,79.44,Moderate
0.19,-56.18,100,Medium,179.92,0,562.14,6.09,65.78,61.3,Moderate
12.65,-86.8,89,Low,521.56,1,461.02,21.4,29.03,43.56,Moderate
19.12,-109.33,45,Low,882.18,3,717.11,30.0,1.0,69.05,Poor
1.49,-102.15,18,Medium,794.92,0,633.2,29.07,1.0,99.1,Poor
9.32,-67.62,24,Medium,329.13,0,402.02,11.81,39.21,70.8,Moderate
0.84,-72.86,45,Low,335.84,0,506.97,14.43,71.53,44.43,Good
1.37,-88.61,24,Medium,552.03,0,487.0,22.31,17.82,94.12,Moderate
19.46,-90.94,91,High,521.49,1,650.48,23.47,1.0,129.19,Poor
27.09,-94.94,61,Low,673.18,4,657.29,25.47,1.0,51.1,Poor
22.75,-87.56,10,Medium,568.7,2,256.04,21.78,1.0,91.45,Poor
19.23,-57.48,80,Low,271.77,3,409.04,6.74,60.37,30.79,Good
1.66,-58.6,99,Medium,241.6,0,531.96,7.3,58.65,52.01,Moderate
2.12,-103.93,97,Low,805.66,0,735.13,29.96,14.24,57.09,Poor
0.09,-88.36,58,Low,619.45,0,512.51,22.18,46.93,66.64,Moderate
0.64,-93.86,96,Medium,547.04,0,671.74,24.93,14.47,95.59,Poor
10.53,-64.17,49,Low,336.05,1,484.6,10.09,58.25,23.63,Good
26.97,-85.12,22,Medium,550.33,3,499.81,20.56,1.0,77.93,Poor
19.7,-86.2,14,Low,546.46,1,379.9,21.1,19.11,52.0,Moderate
11.54,-87.5,53,Low,525.21,3,574.04,21.75,33.82,37.23,Moderate
0.75,-89.16,62,Medium,576.5,0,567.31,22.58,18.7,76.49,Moderate
0.61,-72.07,77,Low,285.67,0,475.05,14.03,75.48,37.05,Good
12.03,-51.77,86,Low,98.26,1,463.17,5.0,78.82,22.4,Good
1.05,-64.86,19,Low,231.35,0,470.68,10.43,73.39,5.75,Good
10.06,-57.68,32,Low,176.06,1,446.78,6.84,76.08,29.89,Good
0.26,-83.68,86,Medium,468.82,0,430.74,19.84,32.68,86.95,Moderate
1.17,-91.41,78,Low,623.95,0,701.77,23.71,33.33,54.92,Moderate
21.58,-94.42,91,High,747.66,1,682.45,25.21,1.0,137.69,Poor
12.36,-79.38,29,High,487.92,1,464.3,17.69,1.0,136.18,Poor
1.86,-84.9,78,Medium,503.09,0,438.66,20.45,23.41,89.46,Moderate
21.37,-118.71,36,Low,978.39,3,648.89,30.0,1.0,54.67,Poor
1.27,-120.0,15,High,995.28,0,558.6,30.0,1.0,138.62,Poor
8.56,-102.85,59,High,739.04,1,709.49,29.42,1.0,127.52,Poor
1.02,-67.89,44,Low,308.65,0,514.57,11.95,71.86,34.13,Good
2.54,-87.78,49,Low,552.41,0,551.46,21.89,33.68,50.43,Moderate
1.62,-75.18,66,High,442.2,0,415.22,15.59,14.92,125.4,Poor
1.3,-90.77,97,Low,775.09,0,598.08,23.38,45.68,22.4,Good
1.67,-120.0,62,High,956.95,0,681.89,30.0,1.0,161.05,Poor
0.58,-120.0,16,Medium,1020.28,0,526.72,30.0,1.0,121.06,Poor
20.56,-100.78,30,Low,779.93,3,789.49,28.39,1.0,50.43,Poor
21.58,-78.97,45,High,449.12,2,447.8,17.48,1.0,109.64,Poor
23.47,-52.82,81,Low,46.29,4,497.42,5.0,60.78,24.48,Good
2.73,-81.01,42,Low,474.03,0,517.59,18.51,58.06,42.8,Good
2.53,-78.01,71,Medium,399.06,0,525.42,17.01,36.91,80.71,Moderate
11.76,-68.32,95,Low,365.15,3,446.18,12.16,53.79,36.25,Good
0.44,-90.47,35,Low,608.9,0,621.47,23.24,38.95,61.61,Moderate
17.62,-78.82,96,High,380.06,3,504.89,17.41,1.0,114.48,Poor
1.45,-97.26,81,High,726.67,0,784.37,26.63,1.0,132.36,Poor
11.34,-90.22,30,Medium,631.08,3,605.2,23.11,1.0,81.25,Poor
0.89,-78.89,28,Medium,508.57,0,597.68,17.45,39.96,80.49,Moderate
1.41,-109.27,34,High,918.87,0,682.72,30.0,1.0,156.98,Poor
10.74,-80.14,19,Low,420.3,0,380.34,18.07,37.03,45.66,Moderate
1.04,-73.8,48,High,416.62,0,498.58,14.9,12.29,124.97,Poor
10.61,-63.26,91,High,258.22,0,525.66,9.63,22.24,127.41,Poor
0.74,-81.61,70,Medium,513.69,0,483.37,18.8,22.57,91.05,Moderate
20.57,-73.61,43,Medium,463.52,2,507.81,14.8,14.26,79.15,Poor
9.14,-58.47,84,Medium,178.87,0,502.84,7.24,47.19,80.0,Moderate
17.51,-75.41,87,Medium,439.3,3,549.36,15.7,5.8,75.0,Poor
25.23,-53.25,15,Medium,139.96,3,329.24,5.0,31.32,65.89,Moderate
0.4,-67.29,86,Low,349.08,0,496.9,11.65,87.05,37.42,Good
1.72,-110.06,34,Low,849.25,0,682.38,30.0,14.14,58.15,Poor
1.74,-82.08,60,Low,516.15,0,480.76,19.04,47.08,19.69,Good
1.17,-86.1,86,Low,601.96,0,457.37,21.05,38.65,33.52,Moderate
0.92,-92.73,67,Medium,631.55,0,638.77,24.37,21.92,84.25,Moderate
2.13,-95.25,92,Medium,684.38,0,721.71,25.63,13.67,97.54,Poor
10.21,-102.02,62,Low,749.02,1,627.19,29.01,15.18,57.53,Moderate
1.15,-68.49,18,Low,376.49,0,425.37,12.24,75.04,44.6,Good
0.88,-88.58,98,High,551.49,0,551.55,22.29,1.23,131.31,Poor
22.91,-50.0,34,Low,74.02,2,473.96,5.0,64.73,22.69,Good
13.68,-78.67,74,Medium,524.21,1,511.17,17.33,16.97,74.29,Moderate
13.73,-83.4,92,Low,529.88,1,519.12,19.7,18.86,48.81,Moderate
2.67,-120.0,30,High,1035.72,0,736.68,30.0,1.0,139.48,Poor
2.4,-85.77,76,High,602.78,0,529.14,20.88,6.63,137.3,Poor
12.71,-92.69,67,Medium,571.73,2,584.73,24.34,3.61,110.41,Poor
10.9,-88.91,36,Low,609.26,1,567.29,22.45,27.74,41.03,Moderate
0.81,-88.51,13,Medium,655.16,0,431.84,22.25,20.77,80.93,Moderate
10.97,-95.5,33,Low,675.65,1,669.48,25.75,18.83,55.93,Moderate
2.44,-89.04,85,Low,531.4,0,469.46,22.52,39.9,56.85,Moderate
1.35,-93.56,80,Low,736.01,0,759.42,24.78,41.29,55.87,Moderate
1.34,-73.88,13,Low,389.72,0,506.0,14.94,67.22,55.75,Moderate
21.03,-91.37,45,Low,638.74,1,707.25,23.69,8.21,49.47,Poor
1.81,-76.55,92,Medium,408.12,0,490.88,16.28,37.08,93.47,Moderate
21.66,-79.93,57,Low,549.66,1,464.31,17.96,28.9,31.34,Moderate
19.6,-98.01,15,Low,672.18,1,557.61,27.0,1.0,71.75,Poor
11.71,-90.58,12,Low,584.57,2,585.22,23.29,31.97,59.36,Moderate
2.41,-86.06,93,Low,583.74,0,395.74,21.03,50.98,34.19,Good
0.33,-57.4,78,High,258.87,0,579.37,6.7,48.65,101.55,Poor
11.32,-64.84,84,Low,376.91,1,520.3,10.42,50.85,31.83,Good
0.81,-91.01,35,Low,578.67,0,747.3,23.5,37.28,59.84,Moderate
9.36,-72.2,41,Low,363.66,1,402.44,14.1,52.65,39.69,Good
11.67,-86.24,25,Medium,593.74,1,462.74,21.12,1.0,78.74,Poor
0.37,-90.35,71,High,595.56,0,653.94,23.17,1.0,127.43,Poor
2.21,-95.22,28,Medium,793.37,0,610.86,25.61,7.47,85.27,Poor
24.54,-88.69,43,Medium,699.85,2,509.57,22.34,1.0,79.94,Poor
1.9,-87.84,56,Medium,661.66,0,507.63,21.92,24.34,103.76,Poor
8.67,-67.07,91,Low,354.72,0,481.35,11.53,65.91,33.17,Good
0.73,-97.41,37,Medium,725.89,0,649.89,26.7,7.32,109.98,Poor
2.76,-93.91,67,Low,698.22,0,714.43,24.96,32.07,57.53,Moderate
11.68,-93.27,96,Low,610.44,3,727.19,24.64,14.37,43.09,Poor
19.58,-69.17,94,Low,342.07,1,567.18,12.59,46.54,38.46,Good
21.17,-64.56,79,Medium,435.11,1,468.92,10.28,25.27,57.56,Moderate
18.79,-82.63,68,Low,580.15,1,517.58,19.31,29.17,45.54,Moderate
13.16,-88.62,45,Low,588.9,2,483.07,22.31,28.84,31.95,Moderate
1.11,-81.96,26,Medium,587.68,0,483.09,18.98,28.07,82.1,Moderate
9.06,-111.59,95,Low,859.25,1,812.69,30.0,1.0,71.21,Poor
8.95,-65.27,63,Medium,354.22,1,471.27,10.64,39.75,70.63,Moderate
8.9,-76.28,58,Medium,508.93,1,467.77,16.14,20.78,82.21,Moderate
0.12,-90.02,41,Low,540.86,0,683.4,23.01,36.97,35.09,Moderate
13.21,-85.75,54,Medium,570.59,2,559.53,20.87,3.24,86.17,Poor
2.22,-84.68,10,Medium,483.64,0,461.27,20.34,26.93,72.17,Moderate
2.27,-58.32,20,Low,182.11,0,500.14,7.16,82.84,12.97,Good
16.68,-91.25,59,Medium,608.94,2,717.12,23.62,1.0,80.5,Poor
10.29,-107.82,83,Low,862.21,1,699.24,30.0,1.0,62.28,Poor
0.79,-107.51,13,High,853.29,0,582.22,30.0,1.0,138.17,Poor
2.29,-85.7,10,Low,585.69,0,359.54,20.85,50.59,43.39,Good
2.74,-98.77,67,Low,724.56,0,703.22,27.39,23.41,52.51,Moderate
2.2,-73.6,21,High,378.26,0,521.41,14.8,17.96,122.7,Poor
0.37,-78.96,81,Medium,509.94,0,430.33,17.48,28.51,77.02,Moderate
10.18,-63.26,19,Medium,286.98,1,452.79,9.63,39.23,65.98,Moderate
22.55,-79.59,36,Low,310.97,3,491.18,17.8,22.24,40.12,Moderate
2.59,-85.03,57,Medium,523.04,0,529.95,20.51,24.63,83.44,Moderate
2.71,-81.67,28,Low,550.44,0,439.23,18.84,49.04,35.56,Good
0.98,-79.34,99,Medium,432.3,0,495.61,17.67,32.25,98.72,Moderate
25.72,-90.14,78,Medium,580.82,3,749.37,23.07,1.0,78.32,Poor
1.03,-101.68,35,Medium,832.18,0,715.07,28.84,2.08,110.97,Poor
25.0,-64.24,69,Medium,320.9,3,448.26,10.12,18.81,61.46,Moderate
8.65,-63.7,83,High,307.71,0,495.65,9.85,20.36,103.55,Poor
11.0,-83.74,27,Medium,522.36,0,554.26,19.87,4.4,70.13,Poor
22.77,-103.25,46,Medium,857.33,4,775.76,29.63,1.0,90.83,Poor
8.85,-63.72,39,Medium,294.35,0,458.89,9.86,46.67,57.72,Moderate
21.39,-73.36,52,Medium,381.28,1,533.49,14.68,9.98,72.12,Poor
24.51,-103.13,16,Medium,834.9,2,604.08,29.57,1.0,99.9,Poor
0.39,-92.02,67,Medium,734.3,0,726.4,24.01,17.93,90.95,Moderate
10.35,-68.96,61,High,362.64,0,435.63,12.48,11.87,103.59,Poor
12.78,-67.8,25,Medium,367.02,1,455.35,11.9,27.21,56.7,Moderate
0.02,-70.24,44,Low,372.88,0,551.72,13.12,74.41,28.69,Good
0.65,-66.1,37,Low,245.86,0,496.54,11.05,77.4,37.34,Good
1.03,-104.58,45,Low,760.42,0,717.98,30.0,24.02,71.94,Moderate
1.79,-95.03,71,Low,734.12,0,697.02,25.52,30.71,45.74,Moderate
1.41,-99.82,48,High,749.29,0,779.61,27.91,1.0,143.2,Poor
10.99,-74.33,69,Low,355.17,0,443.7,15.17,46.05,41.45,Good
19.3,-87.57,95,Medium,564.11,2,534.74,21.78,1.0,82.07,Poor
2.17,-90.11,13,Low,572.72,0,570.83,23.05,32.35,63.38,Moderate
10.76,-89.72,82,Low,634.6,0,474.1,22.86,19.73,42.07,Moderate
10.52,-72.18,99,High,468.6,0,490.31,14.09,4.61,103.81,Poor
0.5,-102.89,68,High,803.6,0,758.96,29.44,1.0,142.52,Poor
1.51,-78.18,41,Low,456.04,0,544.74,17.09,57.69,42.26,Good
0.03,-83.67,23,High,611.04,0,610.22,19.83,1.0,117.85,Poor
9.08,-68.48,38,Medium,393.03,1,486.34,12.24,39.8,80.04,Moderate
18.03,-102.44,26,Medium,810.41,3,747.46,29.22,1.0,110.84,Poor
1.39,-120.0,46,Medium,949.94,0,663.45,30.0,1.0,100.68,Poor
0.42,-76.91,43,High,478.3,0,411.88,16.45,13.81,126.63,Poor
1.77,-86.49,91,Low,592.52,0,535.02,21.25,42.55,42.04,Good
1.81,-63.1,97,Low,267.57,0,555.72,9.55,81.01,29.75,Good
26.56,-70.38,59,Low,309.27,2,525.78,13.19,28.23,19.62,Moderate
0.49,-107.08,48,High,876.33,0,800.16,30.0,1.0,134.62,Poor
0.02,-103.94,13,Medium,811.83,0,565.57,29.97,1.0,95.05,Poor
8.55,-83.67,95,Medium,416.81,0,543.54,19.84,15.13,89.34,Moderate
8.68,-99.31,10,Low,732.59,1,583.92,27.65,18.07,62.35,Moderate
0.69,-87.63,13,Low,506.08,0,428.55,21.82,42.98,31.89,Good
2.48,-87.99,88,Low,627.17,0,463.78,22.0,38.31,51.01,Moderate
20.92,-107.2,38,Medium,822.64,3,723.98,30.0,1.0,117.01,Poor
1.53,-85.62,42,Medium,453.62,0,534.01,20.81,15.1,68.15,Moderate
0.23,-92.17,30,Low,612.9,0,708.31,24.09,38.15,33.56,Moderate
19.02,-89.06,54,Low,648.47,1,559.1,22.53,20.54,46.33,Moderate
25.6,-77.95,82,Low,476.32,2,562.82,16.97,19.57,28.36,Moderate
9.17,-95.69,51,Low,613.27,1,691.95,25.84,27.67,46.63,Moderate
12.18,-106.34,15,Low,815.66,2,599.02,30.0,8.68,67.03,Poor
12.63,-86.76,72,Low,583.65,2,485.81,21.38,26.1,43.48,Moderate
1.24,-79.44,55,Low,490.61,0,453.93,17.72,55.4,37.11,Good
1.74,-98.94,19,Low,850.72,0,728.93,27.47,32.19,64.35,Moderate
2.47,-92.09,27,Low,621.41,0,696.04,24.05,40.83,56.88,Moderate
11.62,-90.34,61,Medium,770.72,2,689.65,23.17,2.6,81.01,Poor
0.88,-86.83,40,Low,579.48,0,532.73,21.41,48.02,41.1,Good
19.64,-103.95,79,Medium,714.63,2,806.89,29.97,1.0,113.76,Poor
13.17,-84.4,87,Low,453.72,1,425.33,20.2,28.45,51.53,Moderate
2.36,-100.42,36,Low,706.95,0,716.33,28.21,23.47,39.58,Moderate
2.46,-78.29,83,High,469.8,0,432.23,17.14,19.71,109.58,Poor
20.9,-102.66,52,High,736.2,1,806.38,29.33,1.0,143.63,Poor
22.68,-83.86,99,High,528.67,3,532.04,19.93,1.0,134.31,Poor
0.64,-76.21,21,High,311.76,0,526.44,16.1,17.18,120.23,Poor
2.32,-77.02,50,Low,418.67,0,576.09,16.51,62.05,26.47,Good
